input_text,target_text
34-5-2016,2016-05-17
13Jul2026,2026-07-13
12th of October 1990,1990-10-12
2-7-00,2000-02-07
17-1,2035-01-17
4/17/2024,2024-04-17
21-12,2022-12-21
2017/1/23,2017-01-23
9/4-2022,2022-02-09
2032/10,2032-10-08
20.5.2023,2023-05-20
"Dec 10th, 2000",2000-12-10
6/10/1991,1991-10-06
20 Oct 2017,2017-10-20
2017-5-25,2017-05-25
24 February 2023,2023-02-24
28/5-2032,2032-05-28
54-7-2033,2033-07-27
1992-8-4,1992-08-04
11/2/1992,1992-11-02
8/6/2015,2015-02-08
27/7-2027,2027-07-27
25 De 2017,2017-12-25
"June 4, 2013",2013-06-04
2012/2,2012-02-15
"Jul 10th, 2029",2029-07-10
4:4:1995,1995-04-04
6/36/2003,2003-12-06
1/18/2011,2011-01-18
4 December 1998,1998-12-04
13/9/17,2017-09-13
46-8-2024,2024-08-23
"Mar 23th, 1991",1991-03-23
13-9-2003,2003-09-13
12 January 2027,2027-01-12
25/21/2022,2022-07-25
9:5:2033,2033-05-09
2015/7/17,2015-07-17
ngày 21 tháng 11 năm 2020,2020-11-21
1:8:2012,2012-08-01
2025/11,2025-11-09
27/8-2022,2022-08-27
13/24-2014,2014-12-13
7Jul2006,2006-07-07
13Aug2002,2002-08-13
25 Feb 1992,1992-02-25
Nov 16 06,2006-11-16
5 Ap 2009,2009-04-05
9 Apr 2014,2014-04-09
24-9-2018,2018-09-24
2031-8-1,2031-08-01
20/9-2009,2009-09-20
1Dec1990,1990-12-01
2025-7-21,2025-07-21
2024/5/18,2024-05-18
18 Ap 2020,2020-04-18
ngày 18 tháng 10 năm 2018,2018-10-18
1/8/2009,2009-01-08
5-11-08,2008-05-11
2002/8,2002-08-27
18 tháng 2 năm 2006,2006-02-18
19th of January 2022,2022-01-19
14/10/24,2024-10-14
20-1-2007,2007-01-20
16/7/2032,2032-07-16
ngày 2 tháng 3 năm 2010,2010-03-02
27 tháng 7 năm 2023,2023-07-27
24 Jul 1992,1992-07-24
01042032,2032-04-01
1-7-2022,2022-07-01
28/10/2027,2027-10-28
9/11/1990,1990-09-11
9-6-12,2012-09-06
15/5/00,2000-05-15
28 May 2013,2013-05-28
9/10/12,2012-10-09
ngày 16 tháng 10 năm 2006,2006-10-16
19/7/25,2025-07-19
"Oct 5th, 2007",2007-10-05
11-23-21,2021-11-23
25/36/2006,2006-12-25
6 March 1996,1996-03-06
"Feb 2nd, 1996",1996-02-02
19 Ma 2018,2018-05-19
"April 10, 2017",2017-04-10
ngày 26 tháng 2 năm 1991,1991-02-26
27 Ju 2031,2031-06-27
20122032,2032-12-20
2000/8/4,2000-08-04
3Mar2003,2003-03-03
4/8/02,2002-08-04
11-18-30,2030-11-18
"April 1, 2028",2028-04-01
7/11/11,2011-07-11
23/15/2021,2021-05-23
16102016,2016-10-16
2016/11,2016-11-05
05012021,2021-01-05
7/9/2032,2032-07-09
9/4/24,2024-04-09
1/23/17,2017-01-23
"July 12, 1997",1997-07-12
17-3-2001,2001-03-17
Mar 7 22,2022-03-07
18/12/10,2010-12-18
2020/6/1,2020-06-01
15052014,2014-05-15
27th of April 2017,2017-04-27
4 August 1994,1994-08-04
2004/1/5,2004-01-05
7/7/05,2005-07-07
2011/8/9,2011-08-09
24 Jul 2030,2030-07-24
22 tháng 3 năm 1990,1990-03-22
6/18/2016,2016-06-06
10/18-2016,2016-09-10
24 Jul 2005,2005-07-24
5/25/2016,2016-05-25
17/8-1999,1999-08-17
2017-6-6,2017-06-06
22 Oct 2007,2007-10-22
2005-9-17,2005-09-17
6Feb1990,1990-02-06
9/19/2034,2034-09-19
15-8,1990-08-15
10/22/12,2012-10-22
23:2:2033,2033-02-23
5Apr2026,2026-04-05
27/6-1991,1991-06-27
13/24-2025,2025-12-13
9 Mar 2017,2017-03-09
17:7:2007,2007-07-17
6Jan2001,2001-01-06
3 May 2032,2032-05-03
19 Jul 2017,2017-07-19
2 Apr 2004,2004-04-02
8th of April 2031,2031-04-08
2.10.2034,2034-10-02
19:10:2009,2009-10-19
24/11/02,2002-11-24
27/5/1998,1998-05-27
16-11-2012,2012-11-08
10-4,2017-04-10
"June 28, 2033",2033-06-28
26/9/08,2008-09-26
2006-4-26,2006-04-26
2025-8-9,2025-08-09
Dec 1 19,2019-12-01
23 Ju 2028,2028-06-23
24:6:2017,2017-06-24
11:4:2028,2028-04-11
10-4-08,2008-10-04
4/3/34,2034-03-04
09082005,2005-08-09
"Dec 6th, 2035",2035-12-06
2-2-15,2015-02-02
7-6-2019,2019-06-07
10.7.2027,2027-07-10
2018/8,2018-08-17
16/15/2027,2027-05-16
"April 1, 2025",2025-04-01
2009/2,2009-02-09
20 Ja 1996,1996-01-20
16-12-2028,2028-12-08
6/9/1992,1992-09-06
21-3-2025,2025-03-21
2005/3/14,2005-03-14
1-4-1996,1996-04-01
"Jul 1st, 2008",2008-07-01
1st of September 2017,2017-09-01
16-1,1993-01-16
Jan 3 09,2009-01-03
13:12:2025,2025-12-13
4th of October 2003,2003-10-04
18/12/10,2010-12-18
54-2-2005,2005-02-27
10 tháng 1 năm 2023,2023-01-10
10.9.2012,2012-09-10
2000/10,2000-10-25
26 tháng 10 năm 1996,1996-10-26
7/6/10,2010-07-06
32-3-2000,2000-03-16
2/17/1995,1995-02-17
2Jan2026,2026-01-02
2/17/11,2011-02-17
26 Jul 2007,2007-07-26
9/36/2010,2010-12-09
"Nov 2nd, 2027",2027-11-02
2010-5-2,2010-05-02
6-6,2009-06-06
38-10-2002,2002-10-19
Feb 15 01,2001-02-15
1/7-2005,2005-07-01
11-10-2007,2007-10-11
ngày 10 tháng 2 năm 1999,1999-02-10
14/3/09,2009-03-14
8/7/1992,1992-07-08
9-26-24,2024-09-26
12-23-02,2002-12-23
1/22-2025,2025-11-01
21 tháng 5 năm 2013,2013-05-21
17 Ma 2027,2027-05-17
25/10-2002,2002-10-25
8/16/18,2018-08-16
5 June 2025,2025-06-05
14-8-2032,2032-08-14
2/2/90,1990-02-02
6/19/02,2002-06-19
Apr 20 17,2017-04-20
10/1/01,2001-01-10
26/16-2029,2029-08-26
22 March 2020,2020-03-22
10Jun1995,1995-06-10
15/12-2002,2002-12-15
26/30/2028,2028-10-26
5/9-2011,2011-09-05
6-11-15,2015-06-11
8-5,2026-05-08
5 tháng 9 năm 2030,2030-09-05
20 tháng 8 năm 2016,2016-08-20
5-9-1994,1994-09-05
23/24/2016,2016-08-23
2006-12-20,2006-12-20
2026/11/27,2026-11-27
16 Se 2026,2026-09-16
16th of May 2020,2020-05-16
7/2-2024,2024-02-07
3/22-1991,1991-11-03
1 Apr 2002,2002-04-01
6/19/96,1996-06-19
20/5-2013,2013-05-20
27/6/2015,2015-06-27
12-9,2029-09-12
1Jun1992,1992-06-01
ngày 14 tháng 9 năm 2028,2028-09-14
6/9/1997,1997-09-06
5/8/11,2011-08-05
12.6.2005,2005-06-12
"May 28th, 2030",2030-05-28
22 December 2005,2005-12-22
12/27/07,2007-12-27
20/7/16,2016-07-20
12 tháng 8 năm 2004,2004-08-12
ngày 6 tháng 4 năm 2022,2022-04-06
11/9/2030,2030-11-09
06082007,2007-08-06
Jul 17 98,1998-07-17
27/9/2003,2003-03-27
1999/1/22,1999-01-22
01072017,2017-07-01
2017/1,2017-01-14
2001/9/2,2001-09-02
20042020,2020-04-20
10051994,1994-05-10
2012-1-12,2012-01-12
4/24/1990,1990-04-24
2002-5-26,2002-05-26
2 De 2028,2028-12-02
18.8.1992,1992-08-18
6/6/23,2023-06-06
12/5-2009,2009-05-12
21031997,1997-03-21
26:2:2031,2031-02-26
27Nov1991,1991-11-27
"October 27, 2003",2003-10-27
02122028,2028-12-02
24-4-2019,2019-04-12
11022012,2012-02-11
21/10/04,2004-10-21
15-10,2035-10-15
46-2-2030,2030-02-23
4 Aug 2007,2007-08-04
18/16-2032,2032-08-18
16/11-2011,2011-11-16
22/11-2003,2003-11-22
1999/7,1999-07-27
"Mar 28th, 2026",2026-03-28
11/18-2032,2032-09-11
22/3/96,1996-03-22
15 Oct 2002,2002-10-15
2.5.2028,2028-05-02
ngày 16 tháng 4 năm 2033,2033-04-16
7/33/1993,1993-11-07
14:3:2030,2030-03-14
Jun 10 94,1994-06-10
19th of November 2010,2010-11-19
"Apr 21th, 2012",2012-04-21
10/3/2028,2028-01-10
22/24/1991,1991-08-22
"Mar 27th, 1995",1995-03-27
30-8-2019,2019-08-15
2027/7,2027-07-25
18 Ju 2008,2008-06-18
9 June 2001,2001-06-09
50-3-2009,2009-03-25
22-2-1993,1993-02-11
10-13-15,2015-10-13
25/3-2027,2027-03-25
22 Ma 2024,2024-05-22
25 tháng 1 năm 2026,2026-01-25
6 Mar 2022,2022-03-06
1.6.2020,2020-06-01
2007/3/13,2007-03-13
6Jan2000,2000-01-06
16/12-2003,2003-12-16
Aug 14 16,2016-08-14
Jan 10 18,2018-01-10
12-7,2025-07-12
ngày 26 tháng 4 năm 2022,2022-04-26
20/30/2022,2022-10-20
9/7/03,2003-07-09
01102022,2022-10-01
Nov 4 14,2014-11-04
4/4/96,1996-04-04
ngày 11 tháng 6 năm 2032,2032-06-11
10 Se 2007,2007-09-10
1/6-2024,2024-03-01
2035/11/20,2035-11-20
"January 27, 2018",2018-01-27
Jul 28 07,2007-07-28
22 tháng 4 năm 2027,2027-04-22
2010-3-9,2010-03-09
6/9-2001,2001-09-06
"December 10, 2019",2019-12-10
52-12-2013,2013-12-26
3/7/11,2011-07-03
3.3.2009,2009-03-03
"February 9, 1998",1998-02-09
3 De 2003,2003-12-03
2000/11,2000-11-17
2/20/2014,2014-02-20
2028/5,2028-05-06
3/16/13,2013-03-16
27062002,2002-06-27
4/8/2017,2017-08-04
3:1:2028,2028-01-03
5/14-2011,2011-07-05
21/3/11,2011-03-21
05072012,2012-07-05
19.9.1995,1995-09-19
"Nov 18th, 2005",2005-11-18
24/9/08,2008-09-24
4-4-03,2003-04-04
24/14-2019,2019-07-24
23:3:2020,2020-03-23
5-28-34,2034-05-28
6-9-2005,2005-09-03
2/9/00,2000-09-02
23/3-2004,2004-03-23
4/22/2022,2022-04-22
20Nov2019,2019-11-20
9-19-19,2019-09-19
8/6/2018,2018-08-06
2014/1,2014-01-21
6.11.2018,2018-11-06
17.11.1996,1996-11-17
2023/9,2023-09-10
25091990,1990-09-25
22062019,2019-06-22
2000/6/3,2000-06-03
7/1/2009,2009-01-07
1/18/2023,2023-06-01
"Jun 23th, 1997",1997-06-23
"May 9, 1998",1998-05-09
11/2/15,2015-02-11
7Nov2012,2012-11-07
14-8,2023-08-14
1998/9/12,1998-09-12
9/4/21,2021-04-09
11:8:2027,2027-08-11
27 May 1994,1994-05-27
1992/9,1992-09-02
12-1-31,2031-12-01
27/12/02,2002-12-27
28/5-2018,2018-05-28
28 July 2033,2033-07-28
21Sep2015,2015-09-21
2/20/07,2007-02-20
26/5/1993,1993-05-26
2032-11-4,2032-11-04
2/5/33,2033-02-05
1:3:1995,1995-03-01
6/2/23,2023-02-06
14/11/09,2009-11-14
1/12/2027,2027-01-12
13Apr2014,2014-04-13
21/8-1990,1990-08-21
7/12/2016,2016-04-07
5Feb2035,2035-02-05
24th of December 2021,2021-12-24
"May 22th, 2021",2021-05-22
3-21-15,2015-03-21
11/21/2028,2028-11-21
8/7/99,1999-07-08
2032/1,2032-01-19
4 July 1991,1991-07-04
25 Dec 2025,2025-12-25
2Oct2026,2026-10-02
12 January 1997,1997-01-12
5/11/09,2009-11-05
2/12-2014,2014-06-02
12 De 1993,1993-12-12
20:11:2022,2022-11-20
4/5/2004,2004-04-05
ngày 14 tháng 10 năm 2029,2029-10-14
25 Jan 2004,2004-01-25
10/10/1993,1993-10-10
ngày 18 tháng 2 năm 2010,2010-02-18
"August 4, 2028",2028-08-04
15:3:2003,2003-03-15
21-11-2013,2013-11-21
24-1-2025,2025-01-24
9-24-32,2032-09-24
21-2-2001,2001-02-21
20/7/04,2004-07-20
1/3/98,1998-03-01
2026/2/16,2026-02-16
4 Jan 2026,2026-01-04
15 tháng 2 năm 2013,2013-02-15
2Dec2031,2031-12-02
11/10-1999,1999-05-11
08061996,1996-06-08
10/2/2026,2026-02-10
11/6-2035,2035-06-11
21 tháng 1 năm 2005,2005-01-21
14-12-2009,2009-12-07
17/14-2033,2033-07-17
2003/7,2003-07-03
2:2:2001,2001-02-02
16.6.1999,1999-06-16
10th of March 2030,2030-03-10
11.10.2031,2031-10-11
28 Oc 2031,2031-10-28
2009/10/4,2009-10-04
"July 17, 1991",1991-07-17
23.8.2020,2020-08-23
22/2-1993,1993-02-22
20/9-2001,2001-09-20
8 Ma 2008,2008-05-08
1/24/1997,1997-01-24
ngày 1 tháng 9 năm 1990,1990-09-01
4/7/96,1996-04-07
7th of March 2019,2019-03-07
48-8-2033,2033-08-24
3/15/07,2007-03-15
4/1-2012,2012-01-04
16th of April 2025,2025-04-16
13/6/99,1999-06-13
"May 15, 2031",2031-05-15
1/6-2020,2020-03-01
20-12,2014-12-20
09042026,2026-04-09
13/11/29,2029-11-13
10 Ap 2020,2020-04-10
16-10,1993-10-16
11-20-30,2030-11-20
15Sep2005,2005-09-15
22/6-2018,2018-06-22
28-10-2017,2017-10-28
21/2/34,2034-02-21
9-7-2022,2022-07-09
26-6,2033-06-26
19Dec2012,2012-12-19
ngày 16 tháng 11 năm 2010,2010-11-16
2nd of November 1993,1993-11-02
20Apr2006,2006-04-20
Aug 17 25,2025-08-17
23102011,2011-10-23
16072030,2030-07-16
10-10-34,2034-10-10
24 January 2012,2012-01-24
21/10/2031,2031-10-21
23/9/02,2002-09-23
27 May 2003,2003-05-27
24/11-2005,2005-11-24
15/30/1997,1997-10-15
28/18-2030,2030-09-28
15-6-2027,2027-06-15
11/28/2011,2011-11-28
13/10/09,2009-10-13
18/5-1999,1999-05-18
2004/9/18,2004-09-18
3/26/2030,2030-03-26
21-8,2001-08-21
15/6-2010,2010-06-15
"Feb 25th, 2009",2009-02-25
11/10-2016,2016-10-11
1997/6,1997-06-07
2-12,2020-12-02
18/7/17,2017-07-18
28/12-2031,2031-12-28
2026/11/24,2026-11-24
2007-2-3,2007-02-03
8 tháng 5 năm 2004,2004-05-08
7/16/28,2028-07-16
5/18/19,2019-05-18
18-12,1996-12-18
46-9-2021,2021-09-23
2/5/1991,1991-02-05
2-6-2011,2011-06-02
"Oct 9th, 2022",2022-10-09
9/10-1993,1993-10-09
1st of September 2005,2005-09-01
10-4-06,2006-10-04
9-9-31,2031-09-09
28-6-2031,2031-06-28
26-9-2014,2014-09-13
20/5-2015,2015-05-20
26-2-2017,2017-02-26
6/27/2027,2027-09-06
2 Sep 2005,2005-09-02
12/10/2024,2024-10-12
1-26-11,2011-01-26
23:8:1999,1999-08-23
19-5-2017,2017-05-19
11/18/93,1993-11-18
23/10/08,2008-10-23
25/9-2019,2019-09-25
14/5/2035,2035-05-14
25:8:2010,2010-08-25
14/8-2016,2016-04-14
10-3,2021-03-10
26/22-2031,2031-11-26
2/6-2014,2014-06-02
10/24/2003,2003-10-24
11/6/1994,1994-06-11
20/2-2035,2035-02-20
6 Aug 2005,2005-08-06
09072007,2007-07-09
13-1,2023-01-13
Aug 26 30,2030-08-26
22/15/2031,2031-05-22
2/28/04,2004-02-28
Dec 11 95,1995-12-11
11/11/14,2014-11-11
22-7-2005,2005-07-11
"December 4, 2035",2035-12-04
08112000,2000-11-08
11112006,2006-11-11
10 tháng 3 năm 2004,2004-03-10
7-5,1994-05-07
2001/4/22,2001-04-22
10101992,1992-10-10
6/20/35,2035-06-20
"January 25, 2001",2001-01-25
21/10/23,2023-10-21
3/15/2017,2017-03-15
28-8-2030,2030-08-28
14Oct2012,2012-10-14
25-12-1992,1992-12-25
28-8-2017,2017-08-28
1991-1-27,1991-01-27
3Jan2035,2035-01-03
2031-12-28,2031-12-28
2001-10-3,2001-10-03
36-12-2029,2029-12-18
6/18/2002,2002-06-06
13/6/2024,2024-06-13
ngày 5 tháng 11 năm 2022,2022-11-05
21-5,2000-05-21
08021992,1992-02-08
10-7-2031,2031-07-10
16/5/15,2015-05-16
28 Ja 2001,2001-01-28
2-7-25,2025-02-07
7/16/00,2000-07-16
4:10:2030,2030-10-04
21.8.2012,2012-08-21
6 Ma 2001,2001-05-06
15Mar2015,2015-03-15
20/6/20,2020-06-20
28 Jun 2030,2030-06-28
7 tháng 8 năm 2008,2008-08-07
4th of June 2006,2006-06-04
21/4/28,2028-04-21
27:10:2031,2031-10-27
ngày 24 tháng 9 năm 2033,2033-09-24
25/8-2000,2000-08-25
"February 22, 2004",2004-02-22
6-10,2009-10-06
23/24/2016,2016-08-23
9-25-32,2032-09-25
1/16/15,2015-01-16
15 September 2003,2003-09-15
4:1:2002,2002-01-04
13 August 2003,2003-08-13
16Jan2026,2026-01-16
2002/1,2002-01-12
24/12-2032,2032-12-24
12/33/2024,2024-11-12
24 Ja 2023,2023-01-24
27 Nov 1999,1999-11-27
Aug 9 15,2015-08-09
24/18-1995,1995-09-24
2025-5-7,2025-05-07
7:10:1995,1995-10-07
2031/6/8,2031-06-08
24-4-1998,1998-04-12
27/2/32,2032-02-27
25th of July 2034,2034-07-25
14-10,2017-10-14
26/8/2017,2017-08-26
20 May 2023,2023-05-20
21th of August 1993,1993-08-21
1 Ma 2035,2035-03-01
15/9/05,2005-09-15
12 Aug 1991,1991-08-12
28/7/2026,2026-07-28
"Nov 16th, 1993",1993-11-16
2027-6-12,2027-06-12
17 June 1999,1999-06-17
5-17-15,2015-05-17
13 tháng 2 năm 2007,2007-02-13
2000/7/24,2000-07-24
27 Ma 1995,1995-05-27
4/2-2002,2002-02-04
19/5/24,2024-05-19
18.4.2029,2029-04-18
15/3/27,2027-03-15
10/15/2013,2013-10-15
2033/10,2033-10-20
25/12/01,2001-12-25
25:2:2003,2003-02-25
"May 1st, 2032",2032-05-01
7/4/2028,2028-04-07
"February 23, 2018",2018-02-23
2024/10/17,2024-10-17
48-2-2024,2024-02-24
7.10.1992,1992-10-07
23/4/96,1996-04-23
15-2-2027,2027-02-15
1-28-27,2027-01-28
27.3.1999,1999-03-27
12-20-91,1991-12-20
27.4.2034,2034-04-27
24 tháng 6 năm 2025,2025-06-24
13/16-2031,2031-08-13
17 tháng 12 năm 1996,1996-12-17
12Jan2023,2023-01-12
8/28/2031,2031-08-28
22/1/97,1997-01-22
5 Ma 2034,2034-03-05
9/11/17,2017-11-09
3-27-26,2026-03-27
23/7/92,1992-07-23
4-11-32,2032-04-11
20 tháng 4 năm 2022,2022-04-20
16 tháng 9 năm 2002,2002-09-16
7/16-2018,2018-08-07
20/8/2014,2014-08-20
28/4/2017,2017-04-28
Jun 1 99,1999-06-01
25/11/1994,1994-11-25
6th of July 1991,1991-07-06
8/7/00,2000-07-08
Sep 3 07,2007-09-03
10/12/2009,2009-04-10
2034/9/2,2034-09-02
2035/3,2035-03-18
22.7.2030,2030-07-22
6-1-1998,1998-01-06
3/10/03,2003-10-03
1991/2/4,1991-02-04
3/4/34,2034-04-03
11/22/2029,2029-11-22
5/10/30,2030-10-05
17/10-1992,1992-10-17
1-10-12,2012-01-10
7:11:2027,2027-11-07
28/12/1997,1997-04-28
1:7:2016,2016-07-01
27Dec2029,2029-12-27
19-5-2031,2031-05-19
"January 27, 2023",2023-01-27
5-3,2006-03-05
"Sep 18th, 1992",1992-09-18
8th of January 2004,2004-01-08
25/7/2023,2023-07-25
22062019,2019-06-22
14.1.2022,2022-01-14
May 11 23,2023-05-11
22th of February 2023,2023-02-22
2011/1/24,2011-01-24
6-24-28,2028-06-24
2001/2,2001-02-03
9/24/2018,2018-08-09
1993/7/1,1993-07-01
14 Ma 1994,1994-05-14
2/18/2035,2035-02-18
2/7/20,2020-02-07
25 Au 1996,1996-08-25
14/6/03,2003-06-14
9:11:2007,2007-11-09
3 tháng 12 năm 2021,2021-12-03
27/8/1996,1996-08-27
17-2,2005-02-17
20/11/00,2000-11-20
25.7.1997,1997-07-25
24-10-2006,2006-10-24
7 Jan 2005,2005-01-07
24 June 2033,2033-06-24
17 Ja 2017,2017-01-17
7-17-18,2018-07-17
22/10-1992,1992-10-22
28Jan1998,1998-01-28
4 tháng 3 năm 2012,2012-03-04
27:12:2020,2020-12-27
"December 26, 2023",2023-12-26
27/12/2007,2007-04-27
12/2-2026,2026-02-12
"Aug 2nd, 1991",1991-08-02
2 Ju 1993,1993-07-02
20:7:2012,2012-07-20
18082025,2025-08-18
17 November 1993,1993-11-17
5 Au 2001,2001-08-05
25/9/30,2030-09-25
18/12/2001,2001-04-18
4Jun2002,2002-06-04
7/11/92,1992-11-07
28-9-2024,2024-09-28
2029/8/27,2029-08-27
10 Dec 2029,2029-12-10
12/3/2010,2010-03-12
2 tháng 6 năm 2004,2004-06-02
Aug 23 16,2016-08-23
11th of November 1995,1995-11-11
25Nov2023,2023-11-25
20/3/30,2030-03-20
Jun 24 93,1993-06-24
10/9/20,2020-10-09
14 June 2023,2023-06-14
11-3-2000,2000-03-11
12-6,1997-06-12
14 Feb 1998,1998-02-14
8-19-99,1999-08-19
9/15/01,2001-09-15
7 tháng 4 năm 2021,2021-04-07
10 Au 1998,1998-08-10
24/8-2013,2013-04-24
18 Ju 2034,2034-07-18
26.12.2012,2012-12-26
12/8/06,2006-12-08
28/2/20,2020-02-28
1993/7,1993-07-24
14/11-1998,1998-11-14
5 tháng 12 năm 2012,2012-12-05
4 May 2027,2027-05-04
28Nov1991,1991-11-28
"November 16, 2011",2011-11-16
25th of April 2011,2011-04-25
"Feb 20th, 1996",1996-02-20
4-5-2013,2013-05-04
1.8.2004,2004-08-01
"Oct 27th, 2020",2020-10-27
2/24/31,2031-02-24
22-3-2024,2024-03-22
ngày 3 tháng 10 năm 2016,2016-10-03
13:7:2004,2004-07-13
2035-1-27,2035-01-27
"Nov 19th, 2011",2011-11-19
"Apr 28th, 2016",2016-04-28
3-4-2012,2012-04-03
24 July 2025,2025-07-24
16/4-1992,1992-04-16
15Oct2017,2017-10-15
3/24/23,2023-03-24
9 Ju 2010,2010-06-09
26/18/2026,2026-06-26
2031/12/2,2031-12-02
6/10/2003,2003-06-10
7 Se 2000,2000-09-07
2029/3,2029-03-11
2/8-2011,2011-08-02
19022006,2006-02-19
28/14-2017,2017-07-28
12/11-2027,2027-11-12
14 May 2000,2000-05-14
2025-5-17,2025-05-17
2022-5-5,2022-05-05
19062024,2024-06-19
10 Fe 2016,2016-02-10
5-8-04,2004-05-08
ngày 14 tháng 1 năm 1998,1998-01-14
14-6-1991,1991-06-07
28 Se 2034,2034-09-28
2 Ma 2005,2005-05-02
15:8:2006,2006-08-15
23/3/29,2029-03-23
06052030,2030-05-06
2034/1,2034-01-19
27/4/2033,2033-04-27
26071991,1991-07-26
23/6-2032,2032-06-23
15/2-2012,2012-02-15
14/4-2007,2007-02-14
14/5/2001,2001-05-14
1/11/17,2017-11-01
2 Sep 2006,2006-09-02
14/33/2031,2031-11-14
24/24-2001,2001-12-24
2035-7-7,2035-07-07
"May 24th, 1992",1992-05-24
12/6/2023,2023-06-12
21 tháng 6 năm 1994,1994-06-21
