input_text,target_text
28/1-2002,2002-01-28
26:6:1996,1996-06-26
7/25/2032,2032-07-25
ngày 27 tháng 2 năm 2009,2009-02-27
20/10-2035,2035-10-20
2030-9-12,2030-09-12
"June 1, 1997",1997-06-01
16-3-2025,2025-03-16
9/5-2030,2030-05-09
9.3.2024,2024-03-09
24 tháng 4 năm 2031,2031-04-24
17/27/2001,2001-09-17
15/11-1992,1992-11-15
27 February 2023,2023-02-27
2/24/14,2014-02-24
Sep 13 23,2023-09-13
ngày 9 tháng 12 năm 2014,2014-12-09
11/11/1994,1994-11-11
2017/6/28,2017-06-28
16 tháng 5 năm 1997,1997-05-16
3/4/93,1993-04-03
23/18/2018,2018-06-23
03102007,2007-10-03
"Aug 13th, 2028",2028-08-13
27Dec1992,1992-12-27
19Jun2014,2014-06-19
25 February 2029,2029-02-25
15:2:1997,1997-02-15
Mar 28 19,2019-03-28
4 Ju 2014,2014-07-04
15/9/2033,2033-03-15
1991/4/4,1991-04-04
24 tháng 8 năm 2029,2029-08-24
6/1/1995,1995-06-01
1 tháng 1 năm 2033,2033-01-01
16 tháng 11 năm 2017,2017-11-16
ngày 20 tháng 10 năm 2024,2024-10-20
2017-10-22,2017-10-22
1 May 1991,1991-05-01
2000/10,2000-10-23
54-1-2029,2029-01-27
2004-7-8,2004-07-08
"October 2, 1995",1995-10-02
"Aug 23th, 2005",2005-08-23
1May2026,2026-05-01
2/10-1991,1991-10-02
22-3-1991,1991-03-11
ngày 20 tháng 1 năm 1991,1991-01-20
2011/9/25,2011-09-25
22.11.2011,2011-11-22
1/18/03,2003-01-18
23/6-2002,2002-06-23
12/15/32,2032-12-15
26 tháng 6 năm 2030,2030-06-26
7/10/2010,2010-07-10
4-1-2019,2019-01-04
26052030,2030-05-26
"August 8, 1995",1995-08-08
15 October 2018,2018-10-15
2008/1/15,2008-01-15
7/3/96,1996-03-07
"Sep 5th, 2014",2014-09-05
6-11-2023,2023-11-03
13 Apr 1995,1995-04-13
Apr 20 22,2022-04-20
11 No 2034,2034-11-11
11-25-90,1990-11-25
ngày 21 tháng 11 năm 2019,2019-11-21
"Apr 4th, 1998",1998-04-04
13.2.2014,2014-02-13
40-5-2003,2003-05-20
2021/8/1,2021-08-01
21/12-2015,2015-12-21
26/1-2004,2004-01-26
12-12-2019,2019-12-12
9-9,1995-09-09
20 November 2020,2020-11-20
24-5,1994-05-24
13:8:2014,2014-08-13
20-7-2017,2017-07-20
20/2/34,2034-02-20
21:4:2027,2027-04-21
10/5/33,2033-05-10
6/30/2022,2022-10-06
14/21/2034,2034-07-14
28 Sep 1995,1995-09-28
6 Ju 2015,2015-06-06
26th of October 1997,1997-10-26
24Apr1992,1992-04-24
7/7/2032,2032-07-07
3rd of July 2001,2001-07-03
Oct 9 07,2007-10-09
2035/11,2035-11-02
21Jul2009,2009-07-21
9/6/2013,2013-06-09
20/21/2031,2031-07-20
Oct 24 10,2010-10-24
23-6,2003-06-23
"Jul 14th, 2005",2005-07-14
15-6,2009-06-15
28 De 2030,2030-12-28
21/11-2031,2031-11-21
23May2023,2023-05-23
16-11-2002,2002-11-16
26-12-2022,2022-12-26
11052000,2000-05-11
10 Se 2019,2019-09-10
3-27-95,1995-03-27
11Feb2016,2016-02-11
16 September 1992,1992-09-16
16-7,2022-07-16
9th of April 2033,2033-04-09
5Mar1992,1992-03-05
"Jun 20th, 2012",2012-06-20
May 9 95,1995-05-09
25.8.2010,2010-08-25
23/24-2017,2017-12-23
2028-1-27,2028-01-27
Jan 3 91,1991-01-03
"November 8, 2017",2017-11-08
9.10.2015,2015-10-09
1991/5/21,1991-05-21
7.8.1990,1990-08-07
8/10/33,2033-08-10
Jul 1 13,2013-07-01
16/8/1995,1995-08-16
13 Jan 2032,2032-01-13
34-12-1996,1996-12-17
26/20-1990,1990-10-26
"January 18, 1993",1993-01-18
17102029,2029-10-17
44-4-1994,1994-04-22
"Jan 15th, 2029",2029-01-15
4/10-2024,2024-10-04
"April 13, 2006",2006-04-13
17/2/97,1997-02-17
26/2-2018,2018-02-26
28 Ma 2008,2008-03-28
Oct 15 20,2020-10-15
16 tháng 6 năm 1990,1990-06-16
9/2/91,1991-02-09
5/4-1997,1997-04-05
2-25-10,2010-02-25
18 Feb 1996,1996-02-18
2006/12,2006-12-16
6/15/03,2003-06-15
23-1,1996-01-23
14/30/2016,2016-10-14
11112017,2017-11-11
6-20-31,2031-06-20
13/3/1990,1990-03-13
11/22/2007,2007-11-22
23/4-2027,2027-04-23
15/33/2035,2035-11-15
17/20-2023,2023-10-17
15 Ma 2030,2030-05-15
25/36/2006,2006-12-25
40-3-1990,1990-03-20
7 Jun 2017,2017-06-07
8-25-91,1991-08-25
14/7/2035,2035-07-14
2013/2/5,2013-02-05
24Dec2023,2023-12-24
3:7:1990,1990-07-03
16 Ma 2026,2026-05-16
9/8/2009,2009-08-09
1-9,2032-09-01
"Jan 15th, 1996",1996-01-15
6-5-19,2019-06-05
15/5-2033,2033-05-15
24022035,2035-02-24
19-1-1991,1991-01-19
22/4/05,2005-04-22
11th of June 2028,2028-06-11
2029/4,2029-04-02
2001-3-21,2001-03-21
"Jan 17th, 2007",2007-01-17
2032-5-15,2032-05-15
11 tháng 7 năm 2018,2018-07-11
11-26-19,2019-11-26
"Jun 28th, 2033",2033-06-28
22 Dec 2020,2020-12-22
28-1,2008-01-28
22Dec2003,2003-12-22
22 October 2017,2017-10-22
11-11,2014-11-11
"Oct 10th, 1990",1990-10-10
3/12-2001,2001-12-03
17th of December 1998,1998-12-17
"Nov 8th, 1993",1993-11-08
9-11,1990-11-09
"April 5, 2021",2021-04-05
Oct 23 10,2010-10-23
13/12/08,2008-12-13
Jun 9 22,2022-06-09
20-1,2025-01-20
19041991,1991-04-19
"February 19, 2030",2030-02-19
2028-4-27,2028-04-27
12/3/97,1997-03-12
10/24/1997,1997-08-10
12th of April 1991,1991-04-12
Apr 9 04,2004-04-09
44-4-2028,2028-04-22
"Nov 18th, 2005",2005-11-18
27-6,1997-06-27
11/2/34,2034-02-11
"October 21, 1993",1993-10-21
11-11-02,2002-11-11
8-5-25,2025-08-05
19/6-2034,2034-06-19
19/3/2015,2015-03-19
23/6-2003,2003-06-23
24.5.2035,2035-05-24
7/12-2003,2003-06-07
"January 6, 2035",2035-01-06
21 tháng 1 năm 2031,2031-01-21
22042000,2000-04-22
5Dec2020,2020-12-05
5 tháng 7 năm 2018,2018-07-05
23/12/2028,2028-04-23
11-27-19,2019-11-27
ngày 19 tháng 1 năm 2030,2030-01-19
3-7-2024,2024-07-03
Jul 28 91,1991-07-28
28-10-2012,2012-10-28
25/30/1997,1997-10-25
2-9-1995,1995-09-02
24/10/98,1998-10-24
10 tháng 11 năm 2009,2009-11-10
23 Jun 2011,2011-06-23
23092003,2003-09-23
21-12-2016,2016-12-21
2:5:1991,1991-05-02
Dec 12 92,1992-12-12
19.1.2001,2001-01-19
20/15/2022,2022-05-20
"Apr 15th, 2017",2017-04-15
17122034,2034-12-17
14062010,2010-06-14
12-10-2028,2028-10-12
27-10,2017-10-27
14/8/17,2017-08-14
8/11/2017,2017-08-11
18012034,2034-01-18
Jul 3 25,2025-07-03
"July 23, 2014",2014-07-23
20:7:2030,2030-07-20
Dec 6 98,1998-12-06
17/1/22,2022-01-17
22:10:2021,2021-10-22
2 Sep 1990,1990-09-02
"Oct 14th, 2015",2015-10-14
19102013,2013-10-19
5 Nov 2033,2033-11-05
21-8-2032,2032-08-21
16th of August 2008,2008-08-16
01102022,2022-10-01
ngày 12 tháng 1 năm 2002,2002-01-12
17 Ap 2016,2016-04-17
"Jul 22th, 2027",2027-07-22
5-19-34,2034-05-19
ngày 28 tháng 11 năm 1998,1998-11-28
20/8-1991,1991-08-20
9-12,2008-12-09
18th of August 2028,2028-08-18
9/6/1992,1992-02-09
7-12-2013,2013-12-07
16 Jan 2035,2035-01-16
27 No 2029,2029-11-27
"September 11, 2007",2007-09-11
12-12-1994,1994-12-06
10.7.2027,2027-07-10
8-11-2015,2015-11-04
7-23-10,2010-07-23
28/6/02,2002-06-28
2023-12-24,2023-12-24
1 Jan 2014,2014-01-01
Dec 6 90,1990-12-06
10 Oct 2030,2030-10-10
19/6/21,2021-06-19
27072022,2022-07-27
25th of October 2035,2035-10-25
10/25/2012,2012-10-25
27/10-2027,2027-05-27
26/12-2019,2019-12-26
46-9-1997,1997-09-23
26/6-2029,2029-06-26
Oct 13 28,2028-10-13
9/8-1998,1998-08-09
22-3-1990,1990-03-11
7/8/08,2008-08-07
26102015,2015-10-26
Aug 20 31,2031-08-20
11:1:2020,2020-01-11
"October 24, 2022",2022-10-24
28/6/10,2010-06-28
3Feb2028,2028-02-03
4 Nov 1990,1990-11-04
2034-4-7,2034-04-07
7/21/2006,2006-07-21
"February 14, 2028",2028-02-14
22/6/1992,1992-06-22
10.12.2021,2021-12-10
"Sep 28th, 2001",2001-09-28
9/12/2034,2034-09-12
2-5,2005-05-02
ngày 20 tháng 10 năm 2026,2026-10-20
9/27/01,2001-09-27
"Jun 4th, 1999",1999-06-04
2010/10,2010-10-26
17 tháng 5 năm 1995,1995-05-17
17.11.2008,2008-11-17
17/8-2010,2010-04-17
14102030,2030-10-14
3 Ma 1990,1990-03-03
04102007,2007-10-04
23/1-2022,2022-01-23
22 Oct 1990,1990-10-22
"Oct 5th, 2022",2022-10-05
20-7-1990,1990-07-20
11/9/2035,2035-03-11
2000/11,2000-11-05
11 Jul 2016,2016-07-11
26/6-2010,2010-06-26
18/3/33,2033-03-18
25/8-2015,2015-08-25
7th of June 2007,2007-06-07
16 Ma 2035,2035-03-16
10 Apr 1998,1998-04-10
ngày 12 tháng 5 năm 2011,2011-05-12
1994/9,1994-09-03
24-5-2020,2020-05-12
Dec 15 93,1993-12-15
38-1-1999,1999-01-19
9/23/2028,2028-09-23
18 Apr 2031,2031-04-18
18/11/1993,1993-11-18
23/5/96,1996-05-23
16/6/06,2006-06-16
3-22-21,2021-03-22
8 De 2008,2008-12-08
22 Dec 2010,2010-12-22
1-10,2008-10-01
8May2034,2034-05-08
16/5/90,1990-05-16
4/6/04,2004-06-04
9:10:2003,2003-10-09
21/2-1997,1997-02-21
6 tháng 5 năm 1997,1997-05-06
15 February 1992,1992-02-15
25/6-1990,1990-03-25
26/15/2012,2012-05-26
28Nov2027,2027-11-28
6/8/2029,2029-06-08
14/8/19,2019-08-14
17/12/31,2031-12-17
5/12/2030,2030-12-05
7-24-02,2002-07-24
"November 2, 2023",2023-11-02
25:4:1994,1994-04-25
ngày 20 tháng 1 năm 2025,2025-01-20
1991/7,1991-07-01
52-2-1993,1993-02-26
2009-12-8,2009-12-08
10/14/23,2023-10-14
Feb 20 92,1992-02-20
14/4-2023,2023-04-14
10-24-12,2012-10-24
13:2:1990,1990-02-13
26/6/2034,2034-06-26
19 tháng 11 năm 2031,2031-11-19
28May2016,2016-05-28
2/10-2034,2034-05-02
10121991,1991-12-10
4-12-2035,2035-12-02
7th of June 1998,1998-06-07
4/26/2031,2031-04-26
12/36/2018,2018-12-12
26 tháng 6 năm 2033,2033-06-26
8th of March 2034,2034-03-08
17 May 1990,1990-05-17
"December 11, 2022",2022-12-11
23/2/30,2030-02-23
9 October 1995,1995-10-09
21-11,2011-11-21
18Jun1994,1994-06-18
ngày 14 tháng 10 năm 2029,2029-10-14
3-13-34,2034-03-13
10051994,1994-05-10
May 14 08,2008-05-14
16 Jun 1990,1990-06-16
14-1,2007-01-14
28th of October 2001,2001-10-28
9 Aug 2005,2005-08-09
2001-2-17,2001-02-17
10/10-2012,2012-10-10
17/9/05,2005-09-17
7-11,2005-11-07
5:6:2004,2004-06-05
Mar 21 99,1999-03-21
"May 4th, 1993",1993-05-04
27Jan2000,2000-01-27
2012/12/28,2012-12-28
25 Ja 2007,2007-01-25
5/28/96,1996-05-28
2013-9-12,2013-09-12
5/4-2007,2007-04-05
10/19/2010,2010-10-19
2009/6,2009-06-22
2007-7-27,2007-07-27
8/24/1994,1994-08-24
3 tháng 10 năm 2000,2000-10-03
14Jul2035,2035-07-14
17 Ju 2027,2027-07-17
ngày 10 tháng 1 năm 2005,2005-01-10
13 tháng 1 năm 1991,1991-01-13
26 tháng 2 năm 2028,2028-02-26
21/5/1998,1998-05-21
28-5-2008,2008-05-28
6/4/17,2017-04-06
10.11.1998,1998-11-10
21Dec1990,1990-12-21
1/33/1993,1993-11-01
"Mar 28th, 2007",2007-03-28
13Sep1999,1999-09-13
27/4-2009,2009-02-27
"August 11, 2014",2014-08-11
4 tháng 12 năm 2001,2001-12-04
2032/12/7,2032-12-07
3/4/1999,1999-03-04
ngày 10 tháng 11 năm 1998,1998-11-10
3 Feb 2018,2018-02-03
"Jun 17th, 2012",2012-06-17
Jun 20 94,1994-06-20
3-27-33,2033-03-27
7/9/2029,2029-03-07
5/6/1990,1990-02-05
2032/7/14,2032-07-14
7/4/35,2035-04-07
7th of June 1993,1993-06-07
7/14-2014,2014-07-07
2031-12-22,2031-12-22
7 tháng 11 năm 2015,2015-11-07
4/11-2031,2031-11-04
9 Ma 1999,1999-05-09
25-9-2007,2007-09-25
6-20-95,1995-06-20
28/21/2029,2029-07-28
"October 22, 1999",1999-10-22
52-3-2024,2024-03-26
8-6-2002,2002-06-08
23/7/2009,2009-07-23
15-3-2014,2014-03-15
2021/6/1,2021-06-01
5 Ju 2012,2012-06-05
Jun 16 13,2013-06-16
2 Mar 2018,2018-03-02
22-3-1994,1994-03-11
"January 11, 2024",2024-01-11
20/5-2026,2026-05-20
ngày 28 tháng 4 năm 2003,2003-04-28
"May 3, 2012",2012-05-03
14/5/29,2029-05-14
25/3/2026,2026-03-25
5 tháng 2 năm 2002,2002-02-05
12/12/2035,2035-12-12
10th of July 1990,1990-07-10
13 January 2025,2025-01-13
10/8-2009,2009-08-10
2001/11/25,2001-11-25
5/3/28,2028-03-05
2015/6/26,2015-06-26
19/9/2034,2034-03-19
23/7/2014,2014-07-23
25/9/2025,2025-09-25
ngày 15 tháng 11 năm 2022,2022-11-15
21/8/15,2015-08-21
07102026,2026-10-07
19 Dec 2015,2015-12-19
5-3-01,2001-05-03
1991-11-7,1991-11-07
6/9/21,2021-09-06
"Aug 10th, 2017",2017-08-10
"Nov 16th, 1990",1990-11-16
22/8/2010,2010-08-22
18032015,2015-03-18
7/21/2024,2024-07-21
12011999,1999-01-12
14 Ju 2021,2021-07-14
10042033,2033-04-10
17/9/95,1995-09-17
2001-5-24,2001-05-24
17 December 2020,2020-12-17
20 Jun 2008,2008-06-20
15/1/20,2020-01-15
27 tháng 6 năm 2022,2022-06-27
20-6-1994,1994-06-10
05072009,2009-07-05
14 July 2020,2020-07-14
11-15-09,2009-11-15
17/7/2033,2033-07-17
20th of June 2031,2031-06-20
2007-11-11,2007-11-11
"May 14, 2009",2009-05-14
10.11.1996,1996-11-10
2/2/2014,2014-02-02
"August 19, 2026",2026-08-19
"May 19, 2003",2003-05-19
12-12-2018,2018-12-06
5/2/2006,2006-02-05
3-6-2010,2010-06-03
6-25-22,2022-06-25
54-6-2008,2008-06-27
18 tháng 8 năm 1991,1991-08-18
6-6-2002,2002-06-03
25/1/15,2015-01-25
11-9,1998-09-11
13/2-2022,2022-02-13
11/24-2006,2006-12-11
26Jan1997,1997-01-26
15/12-2027,2027-12-15
19/2-2002,2002-02-19
21Mar2000,2000-03-21
14/2-2034,2034-01-14
2/7-2026,2026-07-02
2030/5/14,2030-05-14
26/12/2035,2035-12-26
"May 28th, 2030",2030-05-28
6/14/08,2008-06-14
2-22-14,2014-02-22
23-3-2012,2012-03-23
16/10/96,1996-10-16
18.8.1990,1990-08-18
14/6/2006,2006-06-14
26/12/91,1991-12-26
ngày 18 tháng 10 năm 2022,2022-10-18
Jul 6 18,2018-07-06
25/12-2035,2035-12-25
25:1:2001,2001-01-25
11/10-1992,1992-05-11
15/6/2035,2035-06-15
16/36/2000,2000-12-16
11/5/08,2008-11-05
15Oct2017,2017-10-15
27 April 2023,2023-04-27
4/2/2001,2001-04-02
8/3/2020,2020-01-08
11/12-2033,2033-12-11
2/11-2018,2018-11-02
3/3-1990,1990-03-03
5/11/2028,2028-11-05
7:2:2012,2012-02-07
03062022,2022-06-03
24/7/10,2010-07-24
2024/4,2024-04-18
17/2-1998,1998-02-17
2033/12,2033-12-03
15/3-2012,2012-03-15
42-5-2018,2018-05-21
09022035,2035-02-09
16-4-1995,1995-04-16
28:1:1991,1991-01-28
17.5.1992,1992-05-17
Apr 27 09,2009-04-27
2026/3,2026-03-12
2035-2-11,2035-02-11
2011/2/10,2011-02-10
4/18/2013,2013-04-18
27:8:2011,2011-08-27
12/7/2030,2030-07-12
05092020,2020-09-05
20-5-1992,1992-05-20
1-4,2032-04-01
26 tháng 7 năm 2003,2003-07-26
02102028,2028-10-02
12 tháng 4 năm 2027,2027-04-12
8-10-2021,2021-10-04
22 June 2030,2030-06-22
20th of November 1995,1995-11-20
12th of October 2027,2027-10-12
25/10/33,2033-10-25
3/4/2011,2011-03-04
25/3-2012,2012-03-25
ngày 26 tháng 5 năm 2028,2028-05-26
"August 14, 2014",2014-08-14
4-7-2019,2019-07-02
50-7-2021,2021-07-25
12:10:2007,2007-10-12
"Apr 17th, 2023",2023-04-17
36-7-2034,2034-07-18
2017/9,2017-09-28
20/8/2031,2031-08-20
"May 16th, 2006",2006-05-16
5/12/2031,2031-04-05
13-12-2014,2014-12-13
10/1/31,2031-01-10
17/5-2003,2003-05-17
2/9/97,1997-09-02
16 Aug 2003,2003-08-16
25/33/1990,1990-11-25
8/8/2031,2031-08-08
27 Ma 2030,2030-03-27
14/2/93,1993-02-14
07062029,2029-06-07
2/28/1995,1995-02-28
4/10/2026,2026-04-10
1999-8-11,1999-08-11
ngày 5 tháng 12 năm 2018,2018-12-05
1997/1/28,1997-01-28
2008/12/5,2008-12-05
13Jul2020,2020-07-13
Mar 2 29,2029-03-02
3/1/04,2004-01-03
24/27/1996,1996-09-24
16/3/34,2034-03-16
10 July 2008,2008-07-10
28/10/10,2010-10-28
22th of November 2007,2007-11-22
May 19 00,2000-05-19
21092027,2027-09-21
10/14-2016,2016-07-10
"Nov 8th, 2009",2009-11-08
Jan 13 11,2011-01-13
56-9-1991,1991-09-28
ngày 9 tháng 9 năm 2012,2012-09-09
11/4/2000,2000-04-11
Jun 16 09,2009-06-16
30-11-2026,2026-11-15
04012019,2019-01-04
1/1-2026,2026-01-01
9 tháng 12 năm 2002,2002-12-09
8/9-2027,2027-09-08
11 tháng 6 năm 1990,1990-06-11
"March 3, 2018",2018-03-03
22/15/2002,2002-05-22
"July 28, 2009",2009-07-28
17 tháng 5 năm 1999,1999-05-17
2001/1,2001-01-04
5/24/2020,2020-08-05
18/21/2020,2020-07-18
19.6.2031,2031-06-19
23 tháng 5 năm 2007,2007-05-23
"Jan 16th, 2025",2025-01-16
1/12/06,2006-01-12
10/2/1992,1992-10-02
6-1-2005,2005-01-06
3 Oc 2026,2026-10-03
4-2-09,2009-04-02
4/6/26,2026-06-04
6/10/2002,2002-06-10
17/1/25,2025-01-17
10 Sep 1993,1993-09-10
5-15-35,2035-05-15
20/18-2021,2021-09-20
"Jul 1st, 2008",2008-07-01
28/2/35,2035-02-28
24/12/09,2009-12-24
1/3/2007,2007-01-01
21/27/1997,1997-09-21
7.2.1995,1995-02-07
10/15/92,1992-10-15
1/3/2016,2016-03-01
10 Ju 1996,1996-06-10
2034/3,2034-03-08
23/2/2000,2000-02-23
11/5/25,2025-11-05
2018-5-17,2018-05-17
4 tháng 5 năm 2030,2030-05-04
"February 5, 1997",1997-02-05
13 Ap 2027,2027-04-13
11/27/24,2024-11-27
4 Au 2002,2002-08-04
3/24/1998,1998-03-24
1/12-2031,2031-12-01
21th of March 1992,1992-03-21
1991/1/28,1991-01-28
18:1:2007,2007-01-18
15-6-2005,2005-06-15
7 August 2007,2007-08-07
19 Fe 2001,2001-02-19
2017-5-13,2017-05-13
26 February 2033,2033-02-26
24 Ma 2033,2033-05-24
24 January 2029,2029-01-24
15:6:2012,2012-06-15
23/4/12,2012-04-23
16/6/2033,2033-02-16
1 tháng 11 năm 2028,2028-11-01
21th of October 1994,1994-10-21
25/14-2013,2013-07-25
2006/7,2006-07-19
11 Oc 2003,2003-10-11
20 Dec 2010,2010-12-20
10/3/2034,2034-01-10
14/5/23,2023-05-14
7:7:2035,2035-07-07
"Nov 1st, 1996",1996-11-01
20/4/27,2027-04-20
22 Ma 2029,2029-03-22
12/18/24,2024-12-18
2030/7,2030-07-05
21 tháng 2 năm 2015,2015-02-21
11-12,2015-12-11
27/1-2035,2035-01-27
May 15 08,2008-05-15
12/8/2005,2005-12-08
"July 22, 2008",2008-07-22
"March 7, 2010",2010-03-07
19 tháng 7 năm 2008,2008-07-19
11/2/22,2022-02-11
22-5,2032-05-22
2019/3,2019-03-28
11-7-15,2015-11-07
1996/2,1996-02-13
26/3-2031,2031-03-26
3/10/1997,1997-03-10
27Aug1998,1998-08-27
10/8-2015,2015-08-10
2026/1,2026-01-18
9-24-32,2032-09-24
16/5/28,2028-05-16
14-9-2022,2022-09-14
7/4/98,1998-04-07
10.6.2011,2011-06-10
6/4-2024,2024-04-06
5 tháng 1 năm 2009,2009-01-05
ngày 18 tháng 3 năm 2021,2021-03-18
9 tháng 6 năm 1998,1998-06-09
12/15/17,2017-12-15
2/22-2007,2007-11-02
7:5:1990,1990-05-07
12-12-2014,2014-12-12
1993/10/11,1993-10-11
21/5/08,2008-05-21
3/11-2007,2007-11-03
2019/9/21,2019-09-21
7/4-2021,2021-04-07
27/11-2013,2013-11-27
Jan 24 23,2023-01-24
Dec 28 93,1993-12-28
10 February 2022,2022-02-10
27.5.1998,1998-05-27
1.4.2007,2007-04-01
18-4-1999,1999-04-09
16/15/1996,1996-05-16
1/5/13,2013-05-01
23:6:2004,2004-06-23
18/36/1990,1990-12-18
2 Fe 2019,2019-02-02
1991-6-12,1991-06-12
48-11-1990,1990-11-24
2001-2-14,2001-02-14
17 August 2004,2004-08-17
23/3/2017,2017-01-23
ngày 10 tháng 3 năm 2003,2003-03-10
2027/10/13,2027-10-13
2021-4-8,2021-04-08
2031/11/23,2031-11-23
25:5:2017,2017-05-25
15/15/2027,2027-05-15
15/16-2025,2025-08-15
1/15/2021,2021-01-15
27/3/1997,1997-01-27
9/1/1994,1994-01-09
13/4-1994,1994-04-13
18/36/1995,1995-12-18
Feb 8 17,2017-02-08
2020-4-15,2020-04-15
15.5.2007,2007-05-15
22:10:2018,2018-10-22
2/17/22,2022-02-17
4-20-04,2004-04-20
2Oct2034,2034-10-02
25/12-2014,2014-12-25
9-8-2009,2009-08-09
26/11-1997,1997-11-26
20:4:2003,2003-04-20
Feb 8 99,1999-02-08
1/24/18,2018-01-24
46-7-1999,1999-07-23
17 Jul 2004,2004-07-17
1/4/1992,1992-01-04
25-9,2021-09-25
5 tháng 9 năm 2020,2020-09-05
28-2,2023-02-28
13 tháng 2 năm 1992,1992-02-13
26-2-2007,2007-02-26
15.12.1994,1994-12-15
28-5-2002,2002-05-14
16/4-1999,1999-02-16
38-7-2000,2000-07-19
26102028,2028-10-26
10:12:2014,2014-12-10
11 December 2022,2022-12-11
ngày 15 tháng 6 năm 1997,1997-06-15
14/8-2016,2016-04-14
20082007,2007-08-20
2008-1-7,2008-01-07
25-10,2005-10-25
2/14/33,2033-02-14
22/5/16,2016-05-22
2/33/2024,2024-11-02
12/6/05,2005-06-12
6-25-34,2034-06-25
11/21/2027,2027-11-21
"January 15, 2003",2003-01-15
5-20-94,1994-05-20
3/22/27,2027-03-22
11/8/2009,2009-08-11
15/1/02,2002-01-15
9:7:2018,2018-07-09
19 tháng 11 năm 1996,1996-11-19
21101991,1991-10-21
8/4-2015,2015-04-08
4/1-1996,1996-01-04
20-8-1992,1992-08-20
16Jun2005,2005-06-16
23 Nov 2013,2013-11-23
ngày 8 tháng 2 năm 2001,2001-02-08
36-12-2034,2034-12-18
2008/9,2008-09-14
27Apr2008,2008-04-27
8:3:2014,2014-03-08
13/10-2005,2005-10-13
23/16-2035,2035-08-23
23 De 2013,2013-12-23
"March 12, 2007",2007-03-12
Mar 11 15,2015-03-11
11/18/2013,2013-11-18
14 December 2016,2016-12-14
25.3.1997,1997-03-25
28Jun2028,2028-06-28
"Aug 6th, 2013",2013-08-06
Jun 23 10,2010-06-23
2/3/1997,1997-02-03
4-9-13,2013-04-09
26Jul2027,2027-07-26
26-3,2006-03-26
27-3-2015,2015-03-27
13072020,2020-07-13
4 August 1994,1994-08-04
4/10-2032,2032-05-04
Aug 27 30,2030-08-27
